A,B,Trips,,,
30,1,1,,,
50,1,2,,,
4,3,4,,,
5,3,3,,,
122,3,1,,,
3,4,2,,,
5,4,393,,,
7,4,258,,,
15,4,2,,,
17,4,2,,,
23,4,1,,,
25,4,1,,,
28,4,1,,,
46,4,1,,,
48,4,1,,,
56,4,2,,,
58,4,2,,,
62,4,1,,,
63,4,2,,,
64,4,2,,,
78,4,6,,,
79,4,2,,,
83,4,1,,,
107,4,1,,,
108,4,3,,,
109,4,2,,,
119,4,1,,,
122,4,6,,,
145,4,2,,,
147,4,2,,,
154,4,2,,,
155,4,1,,,
3,5,2,,,
4,5,399,,,
6,5,3,,,
7,5,88,,,
24,5,1,,,
62,5,2,,,
64,5,1,,,
68,5,4,,,
72,5,1,,,
78,5,3,,,
79,5,1,,,
84,5,3,,,
90,5,1,,,
108,5,1,,,
121,5,1,,,
145,5,3,,,
168,5,2,,,
173,5,2,,,
4,6,1,,,
5,6,2,,,
7,6,1,,,
4,7,266,,,
5,7,77,,,
6,7,1,,,
17,7,2,,,
56,7,2,,,
63,7,1,,,
79,7,5,,,
111,7,1,,,
173,7,2,,,
9,8,17,,,
16,8,1,,,
20,8,9,,,
21,8,3,,,
22,8,9,,,
23,8,8,,,
24,8,1,,,
38,8,1,,,
47,8,19,,,
48,8,28,,,
58,8,2,,,
72,8,2,,,
84,8,4,,,
85,8,2,,,
86,8,2,,,
87,8,3,,,
90,8,1,,,
91,8,1,,,
94,8,1,,,
101,8,1,,,
102,8,23,,,
106,8,1,,,
107,8,13,,,
108,8,13,,,
109,8,1,,,
110,8,1,,,
111,8,1,,,
116,8,1,,,
117,8,1,,,
118,8,2,,,
119,8,1,,,
124,8,3,,,
125,8,5,,,
126,8,3,,,
139,8,11,,,
140,8,4,,,
142,8,2,,,
143,8,1,,,
151,8,2,,,
152,8,4,,,
153,8,4,,,
160,8,1,,,
166,8,4,,,
167,8,4,,,
169,8,1,,,
170,8,12,,,
171,8,2,,,
176,8,16,,,
177,8,1,,,
181,8,1,,,
8,9,28,,,
20,9,1,,,
22,9,1,,,
38,9,1,,,
47,9,3,,,
48,9,5,,,
54,9,1,,,
84,9,2,,,
89,9,1,,,
101,9,1,,,
102,9,5,,,
107,9,6,,,
108,9,4,,,
109,9,1,,,
116,9,1,,,
117,9,1,,,
118,9,1,,,
120,9,1,,,
124,9,2,,,
125,9,1,,,
139,9,40,,,
140,9,18,,,
141,9,1,,,
143,9,1,,,
151,9,4,,,
166,9,1,,,
168,9,1,,,
169,9,10,,,
170,9,30,,,
171,9,3,,,
173,9,1,,,
176,9,2,,,
177,9,2,,,
11,10,8,,,
53,10,2,,,
71,10,1,,,
91,10,1,,,
117,10,3,,,
167,10,1,,,
179,10,1,,,
10,11,8,,,
37,11,2,,,
91,11,1,,,
177,11,1,,,
13,12,2,,,
14,12,1,,,
56,12,1,,,
92,12,16,,,
93,12,6,,,
92,13,9,,,
94,13,2,,,
12,14,1,,,
21,14,1,,,
34,14,1,,,
37,14,1,,,
53,14,1,,,
92,14,12,,,
93,14,2,,,
94,14,4,,,
180,14,1,,,
4,15,1,,,
16,15,53,,,
20,15,1,,,
21,15,3,,,
22,15,4,,,
39,15,2,,,
46,15,1,,,
53,15,1,,,
54,15,1,,,
58,15,33,,,
59,15,26,,,
66,15,1,,,
67,15,1,,,
72,15,3,,,
75,15,2,,,
87,15,13,,,
88,15,1,,,
90,15,6,,,
91,15,1,,,
107,15,11,,,
108,15,9,,,
109,15,2,,,
117,15,4,,,
118,15,2,,,
120,15,1,,,
142,15,14,,,
143,15,3,,,
151,15,4,,,
152,15,6,,,
170,15,2,,,
173,15,1,,,
176,15,1,,,
177,15,3,,,
8,16,1,,,
15,16,52,,,
21,16,1,,,
38,16,1,,,
46,16,1,,,
47,16,2,,,
53,16,1,,,
54,16,2,,,
58,16,16,,,
59,16,17,,,
71,16,1,,,
72,16,4,,,
73,16,2,,,
82,16,1,,,
85,16,1,,,
87,16,82,,,
88,16,6,,,
91,16,1,,,
104,16,3,,,
107,16,15,,,
108,16,6,,,
109,16,2,,,
116,16,1,,,
117,16,1,,,
118,16,6,,,
124,16,1,,,
127,16,1,,,
129,16,5,,,
142,16,7,,,
143,16,5,,,
151,16,8,,,
152,16,5,,,
166,16,2,,,
167,16,1,,,
