Node_ID,Statistical Local Area Name,X,Y,Cluster_ID
1,Alpine (S) - East,147.0469336,-36.88686162,5
3,Ararat (RC),142.8431707,-37.47271844,7
4,Ballarat (C) - Central,143.8618373,-37.56285905,7
5,Ballarat (C) - Inner North,143.782021,-37.51088121,7
6,Ballarat (C) - North,143.7309046,-37.39687633,7
7,Ballarat (C) - South,143.8730686,-37.64243998,7
8,Banyule (C) - Heidelberg,145.0657066,-37.74720465,9
9,Banyule (C) - North,145.1063679,-37.71213108,9
10,Bass Coast (S) - Phillip Is.,145.2407926,-38.49066712,2
11,Bass Coast (S) Bal,145.5995343,-38.50929109,2
12,Baw Baw (S) - Pt A,146.2740274,-38.12109831,4
13,Baw Baw (S) - Pt B East,146.271287,-37.92593723,4
14,Baw Baw (S) - Pt B West,145.9179033,-38.03442932,4
15,Bayside (C) - Brighton,145.0041382,-37.91182838,2
16,Bayside (C) - South,145.0264187,-37.95953513,2
17,Bellarine - Inner,144.435593,-38.18468072,3
20,Boroondara (C) - Camberwell N.,145.0827762,-37.80222431,10
21,Boroondara (C) - Camberwell S.,145.0765616,-37.84649063,10
22,Boroondara (C) - Hawthorn,145.0393708,-37.82796836,10
23,Boroondara (C) - Kew,145.0384685,-37.79993219,10
24,Brimbank (C) - Keilor,144.8047308,-37.71180261,1
25,Brimbank (C) - Sunshine,144.8020169,-37.78010125,1
26,Buloke (S) - North,142.9469705,-35.74122472,0
27,Buloke (S) - South,143.1279991,-36.27581952,5
28,C. Goldfields (S) - M'borough,143.7426212,-37.05183814,7
30,Campaspe (S) - Echuca,144.7462697,-36.14307701,5
31,Campaspe (S) - Kyabram,144.9364422,-36.26187958,5
32,Campaspe (S) - Rochester,144.5088993,-36.1970111,5
33,Campaspe (S) - South,144.8366694,-36.589424,5
34,Cardinia (S) - North,145.6056034,-38.01580176,2
35,Cardinia (S) - Pakenham,145.4665189,-38.07834035,2
36,Cardinia (S) - South,145.5710128,-38.22367739,2
37,Casey (C) - Berwick,145.3308048,-38.01861906,2
38,Casey (C) - Cranbourne,145.2772544,-38.09219551,2
39,Casey (C) - Hallam,145.2630495,-37.9814028,2
40,Casey (C) - South,145.3223204,-38.16893605,2
41,Colac-Otway (S) - Colac,143.5866046,-38.34825854,0
46,Corio - Inner,144.3329096,-38.06622158,3
47,Darebin (C) - Northcote,145.007415,-37.76767664,9
48,Darebin (C) - Preston,145.016795,-37.72128237,9
49,E. Gippsland (S) - Bairnsdale,147.7392805,-37.88654174,4
50,E. Gippsland (S) - Orbost,148.7122194,-37.42064264,4
51,E. Gippsland (S) - South-West,147.4672083,-37.70200328,0
53,Frankston (C) - East,145.2011244,-38.13539914,11
54,Frankston (C) - West,145.1466394,-38.13382209,11
55,Gannawarra (S),143.8042323,-35.75158154,2
